field,in_schema,declared_type,nullable,required,declared_maxlen,fill_pct,populated,empty,distinct,is_constant,is_unique,observed_type,min_len,max_len,padded,top_value,top_pct,flags
isInventory,yes,boolean,yes,no,,100.0%,2146,0,1,yes,,integer,1,1,0,0,100.0%,CONSTANT;TYPE_MISMATCH
isRental,yes,boolean,yes,no,,100.0%,2146,0,2,,,integer,1,1,0,0,94.2%,TYPE_MISMATCH
isAttachment,yes,boolean,yes,no,,100.0%,2146,0,1,yes,,integer,1,1,0,0,100.0%,CONSTANT;TYPE_MISMATCH
isWarranty,yes,boolean,yes,no,,100.0%,2146,0,1,yes,,integer,1,1,0,0,100.0%,CONSTANT;TYPE_MISMATCH
isVehicle,yes,boolean,yes,no,,100.0%,2146,0,1,yes,,integer,1,1,0,0,100.0%,CONSTANT;TYPE_MISMATCH
isTrailer,yes,boolean,yes,no,,100.0%,2146,0,1,yes,,integer,1,1,0,0,100.0%,CONSTANT;TYPE_MISMATCH
isSmallEquipment,yes,boolean,yes,no,,100.0%,2146,0,1,yes,,integer,1,1,0,0,100.0%,CONSTANT;TYPE_MISMATCH
attachedTo,yes,integer,yes,no,,100.0%,2146,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL;TYPE_MISMATCH
attachedToType,yes,integer,yes,no,,100.0%,2146,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL;TYPE_MISMATCH
divisionId,yes,integer,yes,no,,100.0%,2146,0,3,,,integer,3,3,0,699,99.9%,
mshaEqInspectionTemplateId,yes,integer,yes,no,,100.0%,2146,0,1,yes,,integer,1,1,0,0,100.0%,CONSTANT
accountingCode,yes,string,no,yes,,100.0%,2145,1,2145,,,integer,3,8,0,307100,0.0%,MIXED_FORMAT;REQUIRED_BUT_EMPTY;NUMERIC_AS_STRING
displayNote,yes,string,yes,no,,100.0%,2145,1,2,,,string,4,36,0,NULL,100.0%,PLACEHOLDER_NULL
plateNumber,yes,string,yes,no,,99.9%,2144,2,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
licenseNumber,yes,string,yes,no,,67.0%,1437,709,911,,,string,2,10,0,NULL,23.6%,PLACEHOLDER_NULL;MIXED_FORMAT
color,yes,string,yes,no,,99.9%,2144,2,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
equipmentDetailNote,yes,string,yes,no,,99.9%,2144,2,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
lastHourMeterId,yes,integer,yes,no,,100.0%,2146,0,583,,,string,4,8,0,NULL,72.9%,PLACEHOLDER_NULL;MIXED_FORMAT;TYPE_MISMATCH
lastOdometerId,yes,integer,yes,no,,100.0%,2146,0,481,,,string,4,7,0,NULL,77.6%,PLACEHOLDER_NULL;MIXED_FORMAT;TYPE_MISMATCH
pmSetupCompleted,yes,boolean,yes,no,,100.0%,2146,0,1,yes,,integer,1,1,0,0,100.0%,CONSTANT;TYPE_MISMATCH
maintenanceSetupComplete,yes,boolean,yes,no,,100.0%,2146,0,1,yes,,integer,1,1,0,0,100.0%,CONSTANT;TYPE_MISMATCH
activeWorkOrders,yes,integer,yes,no,,100.0%,2146,0,5,,,integer,1,1,0,0,93.8%,
isPlannable,yes,boolean,yes,no,,100.0%,2146,0,2,,,integer,1,1,0,0,56.8%,TYPE_MISMATCH
defaultEquipmentCodeId,yes,integer,yes,no,,100.0%,2146,0,135,,,string,4,4,0,NULL,93.8%,PLACEHOLDER_NULL;MIXED_FORMAT;TYPE_MISMATCH
uuid,yes,string,no,yes,,100.0%,2146,0,2146,,yes,uuid,36,36,0,6b40b473-91f9-434f-a53c-104c16178375,0.0%,CANDIDATE_KEY
overrideEquipmentGroupColor,yes,string,yes,no,,100.0%,2146,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
