workOrderAssignmentId,workOrderId,assignedToUserId,createdTimestampUtc,createdByUserId,isDeleted,deletedByUserId,deletedTimestampUtc,uuid
43624,98364,15692,"2026-08-06 15:18:01",16222,0,NULL,NULL,18bf408e-163a-4ffc-bd06-12d395b47aed
44785,99913,15444,"2026-08-18 19:01:22",16222,0,NULL,NULL,3934f825-191e-4e7c-b7ba-e87605b31d31
44786,99917,15668,"2026-08-18 19:07:49",16222,0,NULL,NULL,0923c1a0-9e04-4371-9b7e-48741abc02a8
44792,99936,15572,"2026-08-18 20:09:24",16222,0,NULL,NULL,81d10718-5831-43d4-9258-14c98a1b5fd3
44793,99937,15668,"2026-08-18 20:10:34",16222,0,NULL,NULL,3387b12a-4d6a-4f50-b6f7-2d8f481e56c2
44794,99938,15572,"2026-08-18 20:15:04",16222,0,NULL,NULL,ad6bd30b-b66c-4f25-9a2a-6b6874cb3fdf
44572,99537,15376,"2026-08-17 12:24:50",16382,0,NULL,NULL,4e855ec5-6883-4106-8df6-7081caf0ea3b
44573,99538,15376,"2026-08-17 12:25:12",16382,0,NULL,NULL,f311aedf-34d1-4809-8533-76cfd01e411f
44596,99572,15376,"2026-08-17 15:27:44",16222,0,NULL,NULL,ac250d7d-b410-4619-8ea4-e92b1ba36fab
43002,96124,16222,"2026-07-30 18:55:37",16222,0,NULL,NULL,476878ee-72c2-4214-a953-f4e2d232af8c
44008,98864,15668,"2026-08-11 13:27:35",16382,0,NULL,NULL,96302779-2bc3-4d06-b94b-ba1884a006a9
44009,98864,15692,"2026-08-11 13:27:35",16382,0,NULL,NULL,29d18a39-214d-417f-a076-174d4017d5c1
44010,98864,15444,"2026-08-11 13:27:35",16382,0,NULL,NULL,7c828184-a594-460f-9163-3d0197d7b26a
44011,98864,15493,"2026-08-11 13:27:35",16382,0,NULL,NULL,6f29867c-9310-426e-8edf-fae19eda3f87
44012,98864,15572,"2026-08-11 13:27:35",16382,0,NULL,NULL,82b8f0a7-cd2d-4a29-9a36-8f95c2d0aef4
44013,98865,16222,"2026-08-11 13:28:27",16222,0,NULL,NULL,52900d6c-e51a-4e25-991a-27d384e18e55
44014,98866,15572,"2026-08-11 13:28:28",15572,0,NULL,NULL,b36801ed-00eb-43dc-8058-ccd70296d449
44015,98867,15493,"2026-08-11 13:28:35",15493,0,NULL,NULL,d9d524cb-550b-498d-a0df-135483d09a8b
44016,98868,15444,"2026-08-11 13:28:41",15444,0,NULL,NULL,12f02da4-61f0-4793-a405-4707e4a476f2
44017,98869,15692,"2026-08-11 13:28:50",15692,0,NULL,NULL,c506b6d0-1837-4c70-ada5-8d81623ba75f
44018,98870,15668,"2026-08-11 13:28:50",15668,1,16222,"2026-08-14 17:07:33",965fa9c2-bec9-4a40-92d1-6fa83fa707c5
44439,98870,16122,"2026-08-14 17:07:51",16222,1,16222,"2026-08-14 21:00:29",c80ca71b-8107-4e0e-9843-7c78f66b54a1
44472,98870,16201,"2026-08-14 21:00:38",16222,0,NULL,NULL,b33c0713-2335-41df-b53e-3274945c5fd2
44027,98880,15493,"2026-08-11 14:03:35",15493,1,16222,"2026-08-14 17:04:51",c79f5167-fd2b-44f4-9de4-f8087ad44d2b
44454,99405,15513,"2026-08-14 19:15:31",16222,0,NULL,NULL,06d3fb9a-d387-44e4-8908-1d9fa02c6adb
44455,99405,15426,"2026-08-14 19:15:31",16222,0,NULL,NULL,95907e83-fb14-4a66-a331-bfeecf51baaf
44457,99407,15513,"2026-08-14 19:16:07",16212,0,NULL,NULL,8246875c-2af6-4781-91bb-40a9981b80f9
44458,99407,15426,"2026-08-14 19:16:07",16212,0,NULL,NULL,30838fa4-c707-4056-a99e-2b999402cb1d
44459,99409,15513,"2026-08-14 19:18:32",16122,1,16222,"2026-08-14 19:21:51",460225d4-86f0-4a38-8d51-6ba33a5e4f1f
44462,99409,16122,"2026-08-14 19:22:19",16222,0,NULL,NULL,8d74380b-aec4-46e7-96f1-da42a2af2a55
44476,99443,16222,"2026-08-15 13:42:52",16222,0,NULL,NULL,ee96a9a8-bca2-4042-b768-1094fb527341
44477,99444,15873,"2026-08-15 13:42:55",15873,0,NULL,NULL,56090a20-c205-4677-a39a-558c6a04b585
44478,99445,15523,"2026-08-15 13:42:57",15523,0,NULL,NULL,293b93f3-37a9-4d86-8ae6-7409f1e1f8f6
44479,99446,15704,"2026-08-15 13:43:05",15704,0,NULL,NULL,1205245a-957c-4f34-a9df-f4b6f475a42a
44480,99447,16001,"2026-08-15 13:43:11",16001,0,NULL,NULL,f47adea7-5190-4cd4-9252-8b137e9c25dd
