equipmentGroupId,equipmentGroupShortName,equipmentGroupLongName,equipmentGroupDescription,companyId,equipmentClassId,isDeleted,createdTimestampUtc,createdByUserId,equipmentGroupColor,uuid
4329,"Office Container 8' x 20' - 932","Office Container 8' x 20'","Office Container 8' x 20'",265,0,0,"2026-07-15 20:18:17",45,NULL,ca6f25c6-3b8d-4bf3-aa70-0c0be5ef78d1
4330,"Compactor W/B Plate (Small) - 281","Compactor W/B Plate (Small)","Compactor W/B Plate (Small)",265,0,0,"2026-07-15 20:18:17",45,NULL,1458508f-ecef-4488-995e-08a7eea8a321
4331,"Boat Other - 470","Boat Other","Boat Other",265,0,0,"2026-07-15 20:18:17",45,NULL,c89ebdd1-4696-4497-bcd5-5566a36348ed
4332,"Crane Crawler - 85-100  Ton - 130","Crane Crawler - 85-100  Ton","Crane Crawler - 85-100  Ton",265,0,0,"2026-07-15 20:18:17",45,NULL,0f37745e-f1bc-4fd9-a85f-99a9d2f75ab8
4333,"Welder - 865",Welder,Welder,265,0,0,"2026-07-15 20:18:18",45,NULL,f225be66-7d45-4029-854a-1a4d70f0002e
4334,"Pile Hammer Diesel (D36) - 368","Pile Hammer Diesel (D36)","Pile Hammer Diesel (D36)",265,0,0,"2026-07-15 20:18:18",45,NULL,5891c646-107a-4853-a6bc-ad1fa24e27a9
4335,"Aerial Boom Lift - 65' - 331","Aerial Boom Lift - 65'","Aerial Boom Lift - 65'",265,0,0,"2026-07-15 20:18:18",45,NULL,8a08b82d-8fa1-4814-883a-229c46335ec0
4336,"OPEN - 312",OPEN,OPEN,265,0,0,"2026-07-15 20:18:18",45,NULL,d68a541b-e169-46cc-9940-7ed46a5f61b5
4337,"OPEN - 313",OPEN,OPEN,265,0,0,"2026-07-15 20:18:18",45,NULL,c169649e-6561-4cc1-b09b-cf40c40fc352
4338,"xHydra Platform - 879","xHydra Platform","xHydra Platform",265,0,0,"2026-07-15 20:18:18",45,NULL,fdb204f4-f85a-4dd5-9a4c-9b0ff36dd0a9
4339,"Truck - Hydro Vac - 957","Truck - Hydro Vac","Truck - Hydro Vac",265,0,0,"2026-07-15 20:18:18",45,NULL,743810ad-4ce9-4e96-9963-b69e1fc4c5c0
4340,"Excavator 56,000-65,000# - 230","Excavator 56,000-65,000#","Excavator 56,000-65,000#",265,0,0,"2026-07-15 20:18:18",45,NULL,3d03cf22-ac5c-4b2a-95ee-589f478a9139
4341,"Chairs - 77",Chairs,Chairs,265,0,0,"2026-07-15 20:18:19",45,NULL,8edbc272-487b-4dd6-b7d3-5bd735195e99
4342,"Truck - Boom 22 Ton - 934","Truck - Boom 22 Ton","Truck - Boom 22 Ton",265,0,0,"2026-07-15 20:18:19",45,NULL,d00ea8d8-1100-4c00-a6f9-14d57d22861d
4343,"Skid Steer-Wheeled - 270","Skid Steer-Wheeled","Skid Steer-Wheeled",265,0,0,"2026-07-15 20:18:19",45,NULL,527a7175-5de1-4a2e-b415-5ca1118ec5fa
4344,"Radio Equipment - 96","Radio Equipment","Radio Equipment",265,0,0,"2026-07-15 20:18:19",45,NULL,24d2900a-0a47-44de-90ad-69769b64cf6a
4345,"Skid Steer-Track CAT 289/265 - 268","Skid Steer-Track CAT 289/265","Skid Steer-Track CAT 289/265",265,0,0,"2026-07-15 20:18:19",45,NULL,95712b3e-e4d8-4d9e-af7a-fe46a2e4b096
4346,"Trailer - Office 5 Plex60'x60' - 913","Trailer - Office 5 Plex60'x60'","Trailer - Office 5 Plex60'x60'",265,0,0,"2026-07-15 20:18:19",45,NULL,e0cfc0f9-2974-4982-897f-81598ace8b6e
4347,"Air Compressors 375-600 CFM - 871","Air Compressors 375-600 CFM","Air Compressors 375-600 CFM",265,0,0,"2026-07-15 20:18:19",45,NULL,c280a596-bb41-4495-8815-13baf2ae7a45
4348,"Software - 91",Software,Software,265,0,0,"2026-07-15 20:18:19",45,NULL,1a0a6ebf-c656-4e1b-86c0-0add06e4bf20
4349,"Air Compressors 125-185 CFM - 870","Air Compressors 125-185 CFM","Air Compressors 125-185 CFM",265,0,0,"2026-07-15 20:18:20",45,NULL,23eb3197-51bf-4bd3-9134-28de06641bd0
4350,"OPEN - 161",OPEN,OPEN,265,0,0,"2026-07-15 20:18:20",45,NULL,3062ab61-9d74-456c-8a3c-9b7d51a68bc6
4351,"Water Tank Trailers 7500-7800 - 922","Water Tank Trailers 7500-7800","Water Tank Trailers 7500-7800",265,0,0,"2026-07-15 20:18:20",45,NULL,59359e9d-dbbc-4dae-9dd4-70f809bea4c5
4352,"xTorque Tech Winches - 897","xTorque Tech Winches","xTorque Tech Winches",265,0,0,"2026-07-15 20:18:20",45,NULL,aaaf6171-20b8-4fa8-ae9d-eb7c17b5b23b
4353,"Stripping Wagon - 877","Stripping Wagon","Stripping Wagon",265,0,0,"2026-07-15 20:18:20",45,NULL,42ab70f8-417a-448c-96c1-e2cff6762d72
4354,"OPEN - 310",OPEN,OPEN,265,0,0,"2026-07-15 20:18:20",45,NULL,59ea7e03-ba2d-426a-9cf5-f781c4fa96cf
4355,"Truck - Welding - 950","Truck - Welding","Truck - Welding",265,0,0,"2026-07-15 20:18:20",45,NULL,0f800561-9b04-4704-afce-16592988ed2c
4356,"Water Tower Portable 12,000GL - 923","Water Tower Portable 12,000GL","Water Tower Portable 12,000GL",265,0,0,"2026-07-15 20:18:20",45,NULL,8a02c835-ad5f-4f35-b64d-29aa85069a7e
4357,"OPEN - 184",OPEN,OPEN,265,0,0,"2026-07-15 20:18:21",45,NULL,da61c6fb-3156-4ad0-9453-5c551f103d53
4358,"OPEN - 215",OPEN,OPEN,265,0,0,"2026-07-15 20:18:21",45,NULL,27c5adfc-b647-46cf-a638-f46786cea1c8
4359,"OPEN - 321",OPEN,OPEN,265,0,0,"2026-07-15 20:18:21",45,NULL,3120dc8f-1f32-4081-bacc-e2d4457a5ffb
4360,"OPEN - 317",OPEN,OPEN,265,0,0,"2026-07-15 20:18:21",45,NULL,68da79a4-83a3-4368-a060-c37c9e182a7f
4361,"OPEN - 181",OPEN,OPEN,265,0,0,"2026-07-15 20:18:21",45,NULL,7ea33051-4593-46d9-8dfe-60292e187152
4362,"NOT CURRENTLY USED - 211","NOT CURRENTLY USED","NOT CURRENTLY USED",265,0,0,"2026-07-15 20:18:21",45,NULL,3d53942a-3a61-4bb0-98e5-a6ca88f5e54f
4363,"Pile Hammer Diesel (D46-32) - 367","Pile Hammer Diesel (D46-32)","Pile Hammer Diesel (D46-32)",265,0,0,"2026-07-15 20:18:21",45,NULL,3e2d3c56-ebc3-4829-b170-471819fc4f72
4364,"Exc. Breaker (30K-50K Exc) - 235","Exc. Breaker (30K-50K Exc)","Exc. Breaker (30K-50K Exc)",265,0,0,"2026-07-15 20:18:21",45,NULL,cdf1d937-dc03-4351-8ee6-4d8a685f863f
4365,"Loader Track CAT963K - 262","Loader Track CAT963K","Loader Track CAT963K",265,0,0,"2026-07-15 20:18:22",45,NULL,2bcfab0f-ce77-48f7-993a-08f47593c4f7
4366,"zShop Overhead Hoist - 989","zShop Overhead Hoist","zShop Overhead Hoist",265,0,0,"2026-07-15 20:18:22",45,NULL,f98639d6-fe82-44b4-93f8-cc7f86de2bb2
4367,"Attach Bucket Skeleton 66" - 245","Attach Bucket Skeleton 66"","Attach Bucket Skeleton 66"",265,0,0,"2026-07-15 20:18:22",45,NULL,48f51ef5-d761-4546-a6ec-86d828e83533
4368,"Compactor PD RollerWalk Behind - 277","Compactor PD RollerWalk Behind","Compactor PD RollerWalk Behind",265,0,0,"2026-07-15 20:18:22",45,NULL,7c0526be-b173-4f49-882b-86ea0a2cc84b
4369,"OPEN - 401",OPEN,OPEN,265,0,0,"2026-07-15 20:18:22",45,NULL,26b391e9-8070-46a3-a443-728419c4ce59
4370,"Excavator 100,000#+ - 232","Excavator 100,000#+","Excavator 100,000#+",265,0,0,"2026-07-15 20:18:22",45,NULL,442b95ea-5331-4704-96e7-350b3ff815ae
4371,"Truck - Dump Tandem - 956","Truck - Dump Tandem","Truck - Dump Tandem",265,0,0,"2026-07-15 20:18:22",45,NULL,9cb1116a-7741-4569-8d6a-3d024e3878cd
4372,"Forklift (5K Telehandler) - 301","Forklift (5K Telehandler)","Forklift (5K Telehandler)",265,0,0,"2026-07-15 20:18:23",45,NULL,8db8fad7-b256-4cb7-a568-47eb76725f76
4373,"Trailer - Restroom - 907","Trailer - Restroom","Trailer - Restroom",265,0,0,"2026-07-15 20:18:23",45,NULL,98af1fd2-1ac2-432b-b03a-71c202cecc92
