laborCodeId,jobId,createdTimestampUtc,laborCode,description,note,accountingCode,estimatingCode,isActive,jobRegularChargeRatePerHour,jobOvertimeChargeRatePerHour,jobDoubleTimeChargeRatePerHour,uuid
1286,NULL,NULL,001SW.CR,Carpenter,NULL,CR,NULL,1,NULL,NULL,NULL,6a076ba6-c031-4443-97ad-a5f503d428af
1287,NULL,NULL,001SW.FM12,"Carpenter Foreman Special Rate",NULL,FM12,NULL,1,NULL,NULL,NULL,0f74319f-67ff-48be-be7f-5ce40a0c0e28
1288,NULL,NULL,001SW.FM9,"Carpenter Foreman Special Rate",NULL,FM9,NULL,1,NULL,NULL,NULL,e37d8f35-e553-4597-b619-7589069c5250
1289,NULL,NULL,001SW.SP,"Carpenter Special Rate",NULL,SP,NULL,1,NULL,NULL,NULL,1657387a-31fd-44f8-9a5f-98bc87c09e00
1290,NULL,NULL,002.GR1,"Operator Special Rate",NULL,GR1,NULL,1,NULL,NULL,NULL,2491608e-f955-4196-b3ed-6dfefffa59ec
1291,NULL,NULL,002.FM1,"Operator Foreman Special rate",NULL,FM1,NULL,1,NULL,NULL,NULL,08dc7657-80c4-47c7-962d-dca74081ee6c
1292,NULL,NULL,001SW.SP2,"Carpenter Special Rate",NULL,SP2,NULL,1,NULL,NULL,NULL,5afb5cdc-1b67-4f13-9a17-e3643d016ba2
1293,NULL,NULL,002.GR1A,"Operator Group 1a",NULL,GR1A,NULL,1,NULL,NULL,NULL,ca9a5df4-245f-45ce-b273-af38c5489ac3
1294,NULL,NULL,002.GR1AS,"Operator Grp1A + 1.25",NULL,GR1AS,NULL,1,NULL,NULL,NULL,d4a908ef-16af-4375-a689-bcb9baf83dfc
1295,NULL,NULL,002.SP4,"Operator Special Rate",NULL,SP4,NULL,1,NULL,NULL,NULL,e530f2f6-338e-42df-8e69-dcd174293f4d
1296,NULL,NULL,002.GRP1,"Operator Group 1 MN rate",NULL,GRP1,NULL,1,NULL,NULL,NULL,eff16cdf-d343-4b2b-93c6-7a4e8a5547e4
