equipmentCodeId,jobId,createdTimestampUtc,createdByUserId,equipmentCode,description,accountingCode,estimatingCode,jobOperatorLaborCodeId,isActive,jobChargeRatePerHour,uuid
2877,NULL,NULL,45,899700,"HI-RAIL BOOM TRUCK-STERLING LT9513 (SOLD)",1M,NULL,NULL,1,NULL,c8272b83-d537-40d0-b845-b2070ec0bda2
2878,NULL,NULL,45,692700,"GENERATOR CAT XQ20 (on RPO) Fabick",8,NULL,NULL,1,NULL,c4344647-3cb0-40e1-95cd-0ea4a58de8c1
2879,NULL,NULL,45,693000,"CAMERA/SECURITY TRAILER w/ Full 360 PTZ Camera (on RPO NCM)",8,NULL,NULL,1,NULL,b97b1b92-f946-4537-8fd9-f12560db77c1
2880,NULL,NULL,45,568400,"CAT 289/265 TRACK SKIDSTEER (On RPO) Fabick",1O,NULL,NULL,1,NULL,29118228-0eb9-4d20-98a6-61c4d080b303
2881,NULL,NULL,45,568600,"CAT299/275 TRACK SKIDSTEER (On RPO) Fabick",1O,NULL,NULL,1,NULL,239900e3-f9a8-4171-a021-c0890c7b7036
2882,NULL,NULL,45,568500,"CAT259/255 TRACK SKIDSTEER (On RPO) Fabick",1O,NULL,NULL,1,NULL,40e1acf0-f8f3-49aa-af8b-3b0f64c3a6b7
2883,NULL,NULL,45,899700,"HI-RAIL BOOM TRUCK-STERLING LT9513 (SOLD)",8,NULL,NULL,1,NULL,24e8dfa7-a75a-4a6f-9064-e4c6b29671df
2884,NULL,NULL,45,693100,"CAMERA/SECURITY TRAILER w/ Full 360 PTZ Camera (on RPO NCM)",8,NULL,NULL,1,NULL,7fd3a7c1-8d01-4116-a60f-431bdee355ff
2885,NULL,NULL,45,760300,"RAILROAD SERVICE CART 16'",8,NULL,NULL,1,NULL,9ce2140b-3dde-4dfb-b417-544f4e309f6c
2886,NULL,NULL,45,565400,"CAT 313 EXCAVATOR",1O,NULL,NULL,1,NULL,d4eb1819-a090-48e2-83d5-c16cd7c899e0
2887,NULL,NULL,45,565100,"CAT CS11GC SMOOTH DRUM 84 inch ROLLER",1O,NULL,NULL,1,NULL,16fec62d-ef61-4e44-b5b8-0c6a98a669e3
2888,NULL,NULL,45,565000,"CAT 336 EXCAVATOR w/THUMB & GPS",FHM,NULL,NULL,1,NULL,1f48e3b6-97ad-4d81-84e5-f512901743b7
2889,NULL,NULL,45,565000,"CAT 336 EXCAVATOR w/THUMB & GPS",1M,NULL,NULL,1,NULL,7d5de2b7-a06e-4988-ae28-deca435921ab
2890,NULL,NULL,45,565800,"CAT 265/289 TRACK SKIDSTEER",1O,NULL,NULL,1,NULL,4f9159a2-8870-45fb-9b97-87767f8346a2
2891,NULL,NULL,45,565700,"CAT 255/259 TRACK SKIDSTEER",1O,NULL,NULL,1,NULL,601e0a57-d40e-45d4-bd28-6a78235ec44f
2892,NULL,NULL,45,564900,"CAT 308 EXCAVATOR W/ THUMB",1O,NULL,NULL,1,NULL,b188fd6b-72ee-4959-8520-b8980c7aed61
2893,NULL,NULL,45,565500,"CAT 313 EXCAVATOR",1O,NULL,NULL,1,NULL,f2864b07-0202-40c0-a27e-ea03646ae762
2894,NULL,NULL,45,565900,"CAT 336-08HT EXCAVATOR",1M,NULL,NULL,1,NULL,7a60029c-7164-4733-965f-dcd70fb7e621
